Atom_Index, Neighbour_Index, distance
106,105,0.70711
106,107,0.70711
107,8,0.70711
107,29,0.70711
107,32,0.70711
107,33,0.70711
107,78,0.70711
107,80,0.70711
107,82,0.70711
107,101,0.70711
107,102,0.70711
107,104,0.70711
107,105,0.70711
107,106,0.70711
